состав. % L-Thr	parameter a	error a	parameter b	error b	parameter c	error c	volume
0.86	13.5903	0.0044	7.809	0.0044	5.1418	0.0019	545.6746
0.82	13.5822	0.004	7.8387	0.0026	5.1385	0.0024	547.08
0.8	13.5845	0.0031	7.8424	0.0021	5.138	0.0018	547.3763
0.78	13.5903	0.0032	7.8452	0.002	5.1438	0.0016	548.4273
0.155	13.6509	0.0069	7.8251	0.0045	5.1703	0.0029	552.2862
0.9	13.5973	0.004	7.791	0.0045	5.1448	0.0019	545
0.2	13.6487	0.0084	7.837	0.0067	5.1685	0.0032	552.8447
0.58	13.6089	0.0079	7.8662	0.0044	5.1483	0.0032	551.1272
0.38	13.6167	0.0084	7.8694	0.0046	5.1491	0.0028	551.7483
1	13.6068	0.0047	7.7354	0.0036	5.1419	0.0024	541.2078
0.75	13.59	0.0096	7.8217	0.0084	5.141	0.0029	546.47
0.5	13.6026	0.0096	7.8591	0.0084	5.1558	0.0065	551.18
0.25	13.6359	0.0117	7.8458	0.0076	5.1554	0.0087	551.18
0	13.6817	0.0115	7.78	0.009	5.17	0.006	551.1
0.6533	13.615	0.0048	7.8632	0.003	5.148	0.0018	551.16
0.6895	13.6	0.0039	7.852	0.0023	5.146	0.0021	549.57
0.0647	13.6737	0.0041	7.8152	0.0023	5.1721	0.0017	552.703
0.3116	13.629	0.0059	7.8659	0.005	5.1566	0.0025	552.83
0.9696	13.6076	0.0042	7.7572	0.0024	5.1453	0.0014	543.1
1	13.6135	0.0026	7.7396	0.00146	5.1457	0.0011	542.17
0.95	13.6084	0.0046	7.7672	0.003	5.147	0.0025	544.029
0.75	13.5981	0.0056	7.833	0.0042	5.1469	0.0024	548.2175
0	13.683	0.0047	7.7954	0.003	5.1774	0.0018	552.25
1	13.608	0.002	7.736	1.00E-03	5.146	1.00E-03	541.73
0	13.69	0.01	7.78	0.01	5.17	0.01	550.6
0.45	13.6	0.01	7.87	0.01	5.16	0.01	552.3
